* Texas Instruments Data Flash File
* File created Sun Jan 30 22:26:15 2022
*
* Device Number 9E34
* Firmware Version 0.01
* Build Number 22
* Order Number 0
*
* bqz Device Number 9e34
* bqz Firmware Version 0.01
* bqz Build Number 22
*
* Field Order: Class name, Subclass name, Parameter name, Parameter Value, Display Units
"Calibration","Voltage","Cell Gain","12101","-"
"Calibration","Voltage","Pack Gain","49669","-"
"Calibration","Voltage","BAT Gain","48936","-"
"Calibration","Current","CC Gain","1.036","mOhm"
"Calibration","Current","Capacity Gain","1.036","mOhm"
"Calibration","Current Offset","CC Offset","0","-"
"Calibration","Current Offset","Coulomb Counter Offset Samples","64","-"
"Calibration","Current Offset","Board Offset","0","-"
"Calibration","Current Offset","CC Auto Config","07","hex"
"Calibration","Current Offset","CC Auto Offset","0","-"
"Calibration","Temperature","Internal Temp Offset","0.0","°C"
"Calibration","Temperature","External1 Temp Offset","0.0","°C"
"Calibration","Temperature","External2 Temp Offset","0.0","°C"
"Calibration","Temperature","External3 Temp Offset","0.0","°C"
"Calibration","Temperature","External4 Temp Offset","0.0","°C"
"Calibration","Internal Temp Model","Int Gain","-12143","-"
"Calibration","Internal Temp Model","Int base offset","6232","-"
"Calibration","Internal Temp Model","Int Minimum AD","0","-"
"Calibration","Internal Temp Model","Int Maximum Temp","6232","0.1degK"
"Calibration","Cell Temperature Model","Coeff a1","-11130","-"
"Calibration","Cell Temperature Model","Coeff a2","19142","-"
"Calibration","Cell Temperature Model","Coeff a3","-19262","-"
"Calibration","Cell Temperature Model","Coeff a4","28203","-"
"Calibration","Cell Temperature Model","Coeff a5","892","-"
"Calibration","Cell Temperature Model","Coeff b1","328","-"
"Calibration","Cell Temperature Model","Coeff b2","-605","-"
"Calibration","Cell Temperature Model","Coeff b3","-2443","-"
"Calibration","Cell Temperature Model","Coeff b4","4696","-"
"Calibration","Cell Temperature Model","Rc0","11703","-"
"Calibration","Cell Temperature Model","Adc0","11703","-"
"Calibration","Cell Temperature Model","Rpad","0","-"
"Calibration","Cell Temperature Model","Rint","0","-"
"Calibration","Fet Temperature Model","Coeff a1","-11130","-"
"Calibration","Fet Temperature Model","Coeff a2","19142","-"
"Calibration","Fet Temperature Model","Coeff a3","-19262","-"
"Calibration","Fet Temperature Model","Coeff a4","28203","-"
"Calibration","Fet Temperature Model","Coeff a5","892","-"
"Calibration","Fet Temperature Model","Coeff b1","328","-"
"Calibration","Fet Temperature Model","Coeff b2","-605","-"
